Time (ms); Pri Amplitude (mm)
165984;116.9795
166073;116.905
166158;116.887
166252;116.8182
166340;116.6203
166419;116.6428
166512;116.5326
166612;116.4698
166682;116.436
166772;116.4094
166854;116.2687
166950;116.1923
167038;116.1155
167119;116.1381
167207;116.1288
167295;116.0336
167376;115.9842
167467;115.9537
167554;115.9571
167643;115.852
167728;115.8932
167818;115.8767
167909;115.8789
167992;115.917
168081;116.1062
168165;116.0279
168255;116.1714
168349;116.1754
168425;116.3153
168510;116.5036
168598;116.641
168684;116.6052
168774;116.6976
168863;116.797
168945;116.9071
169036;116.9974
169120;117.1728
169209;117.2609
169293;117.3089
169384;117.5055
169467;117.561
169557;117.5347
169648;117.6407
169727;117.6578
169817;117.7378
169908;117.7491
169993;117.743
170078;117.7394
170170;117.7563
170255;117.7247
170340;117.7282
170426;117.6756
170510;117.4772
170600;117.3542
170688;117.3555
170776;117.3499
170869;117.1108
170950;117.1057
171034;117.09
171122;116.8624
171208;116.6565
171299;116.5907
171383;116.4574
171469;116.2431
171559;116.2562
171645;116.1709
171730;116.2763
171824;116.0645
171906;116.078
171993;116.021
172079;115.9992
172167;116.0102
172254;116.0126
172343;115.8289
172425;115.9062
172522;115.9123
172608;115.9305
172690;115.8998
172784;115.8388
172873;115.9549
172952;116.1466
173039;116.2328
173123;116.3354
173212;116.3908
173299;116.3129
173394;116.4963
173471;116.6757
173561;116.7831
173643;116.6749
173730;116.8666
173819;117.0241
173906;117.242
173998;117.1891
174084;117.236
174175;117.3106
174264;117.4773
174343;117.4073
174428;117.5188
174518;117.5819
174600;117.5173
174691;117.4348
174779;117.3292
174876;117.4288
174950;117.4076
175048;117.2259
175122;117.1892
175212;117.2447
175302;117.3214
175383;117.168
175480;116.9721
175562;116.9634
175653;116.9271
175736;116.9199
175822;116.732
175907;116.7499
175999;116.5197
176081;116.3204
176168;116.3625
176254;116.25
