Time (ms); Pri Amplitude (mm)
99076;158.8335
99167;158.5911
99258;158.3829
99341;158.5378
99430;158.346
99524;158.2632
99612;158.2177
99699;158.3039
99789;158.3186
99879;158.305
99970;158.4648
100062;158.6279
100144;158.6962
100236;158.9139
100328;158.9056
100421;159.2056
100506;159.2885
100595;159.5173
100684;159.6663
100775;159.7703
100866;159.8661
100954;160.1801
101045;160.1627
101136;160.0936
101225;160.1679
101314;160.4382
101404;160.203
101497;160.3272
101583;160.5081
101672;160.2282
101761;160.1196
101854;160.1164
101942;160.4615
102033;160.3663
102122;160.17
102213;159.9886
102300;159.5114
102390;159.0586
102482;159.0222
102575;159.0087
102659;159.0261
102751;159.1806
102837;159.0332
102933;158.9904
103018;158.8685
103109;159.2368
103196;159.1489
103288;159.3785
103380;159.6675
103469;159.9858
103560;159.9421
103645;160.0138
103739;160.2654
103826;160.2628
103915;160.3778
104004;160.6006
104092;160.5508
104184;160.4271
104276;160.3047
104363;160.0755
104454;159.7825
104544;159.928
104634;159.781
104726;159.5751
104819;159.5065
104905;159.4967
104992;159.0568
105081;158.8669
105173;158.8251
105260;158.8558
105351;158.8791
105439;158.6419
105532;158.8678
105619;158.7682
105709;158.7972
105798;158.6169
105889;159.0479
105979;158.9947
106067;159.1733
106158;159.2612
106250;159.4192
106339;159.5422
106431;159.6452
106519;159.8246
106605;159.8796
106698;159.9396
106787;160.0949
106877;160.0715
106968;159.909
107057;159.9899
107144;160.12
107234;160.1471
107327;160.0154
107414;160.0882
107507;159.8678
107596;159.5041
107682;159.5544
107771;159.2119
107861;158.899
107952;158.6715
108044;158.8278
108130;158.788
108222;158.7267
108310;158.7726
108399;158.7964
108487;158.659
108582;158.7612
108673;159.0644
108761;159.3036
108849;159.327
108941;159.371
109026;159.5946
109116;159.5869
109207;159.8175
109297;159.9969
109387;159.8811
109478;159.9962
109567;159.9507
109659;160.0787
109745;160.162
109836;160.1633
109931;160.3412
110017;160.1373
110104;160.0659
110194;160.1423
110285;160.1087
110382;160.1142
110462;159.8568
110556;159.9858
110642;160.0651
110733;159.703
110822;159.3974
110914;159.3125
111005;158.9311
111092;158.9111
111182;159.1536
111274;159.2205
111362;159.0284
111452;158.9256
111543;158.8373
111633;158.9332
111719;159.1186
111811;159.5466
111905;159.5764
111992;160.0443
112082;160.3717
112175;160.9285
112262;161.5309
112349;162.0345
112442;162.8319
112536;163.3101
112621;163.6904
112708;164.2587
112798;164.4201
112893;164.1512
112980;163.196
113069;162.0215
113162;161.0772
113253;160.4063
113340;159.821
113430;159.7939
113520;159.7186
113608;159.6805
113698;159.6951
113788;159.5315
113883;159.4628
113973;159.4961
114062;159.4053
114150;159.4093
114239;159.2951
114335;159.5578
114419;159.8931
114509;159.7462
114596;160.0541
114688;160.3975
114779;160.6024
114867;160.2982
114954;160.5552
115047;160.717
115138;160.3486
115226;160.0535
115317;160.0346
115407;159.8335
115494;159.4947
115582;159.241
115680;159.4636
115770;159.4049
115858;159.2735
115946;159.4994
116035;159.5486
116126;159.3332
116214;159.3083
116300;159.5872
116395;159.4427
116484;159.2897
116579;159.4109
116664;159.4945
116765;159.287
116842;159.4254
116933;159.356
117027;159.3699
117112;159.4462
117201;159.4496
117293;159.3105
117384;159.5208
117472;159.4287
117563;159.6934
117657;159.5964
117742;159.7247
117835;159.6953
117922;159.659
118011;159.3446
118103;159.2229
118191;159.1893
118291;159.0079
118375;158.8455
118462;158.6962
118550;158.6447
118641;158.6085
118732;158.7767
118816;158.7731
118912;158.8518
118998;158.962
119092;159.2458
119179;159.2143
119264;159.4281
119360;159.5764
119444;159.7551
119539;159.8353
119624;160.1179
119726;160.1337
119803;160.1831
119898;160.1345
119989;160.3023
120076;160.2932
120171;160.1728
120259;160.1961
120343;160.1731
120436;160.1279
120528;160.0091
120622;160.1787
120710;160.0654
120794;159.9613
120881;160.1426
120971;159.9812
121067;159.7668
121152;159.7599
121243;159.5936
121333;159.1731
121421;159.0525
121513;158.9658
121605;158.7764
121692;158.6209
121781;158.7583
121872;158.737
121960;158.8288
122052;158.8745
122143;159.2278
122232;159.4759
122321;159.4436
122411;159.3941
122501;159.5632
122594;159.4575
122680;159.3232
122767;159.34
122860;159.2174
122950;159.0786
123036;159.1514
123135;159.2925
123226;159.0407
123305;159.2424
123395;159.2378
123495;159.0972
123577;158.9924
123672;159.0579
123763;159.0825
123843;159.1071
123940;158.8767
124030;159.0059
124120;158.6732
124205;158.5492
124292;158.6735
124383;158.5118
124477;158.5813
124566;158.6132
124652;158.8643
124746;158.8817
124834;158.8485
124918;159.198
125012;159.2357
125104;159.4436
125191;159.4028
125280;159.1667
125378;159.042
125460;158.92
125550;158.6893
125637;158.7183
125732;158.8173
125821;158.5651
125911;158.5694
125998;158.5004
126090;158.2352
126179;158.2385
126265;158.1393
126353;158.2135
126449;158.3279
126531;158.1626
126622;158.265
126712;158.3516
126802;158.3028
126895;158.6183
126983;158.9764
127076;159.0873
127164;159.3275
127254;159.4084
127343;159.6764
127433;159.652
127523;159.6326
127610;159.9988
127700;159.7296
