Time (ms); Pri Amplitude (mm)
115803;149.0401
115879;149.0297
115949;148.9173
116018;149.0351
116093;149.0383
116171;148.9249
116243;148.9777
116316;148.8806
116387;148.8815
116457;148.9946
116530;148.9319
116606;148.9143
116680;148.9868
116753;148.963
116829;149.0842
116899;149.0958
116967;149.2021
117041;149.1818
117119;149.3086
117195;149.5957
117260;149.5105
117332;149.6783
117411;149.7041
117484;149.858
117550;149.8076
117627;149.9223
117696;149.9429
117771;149.9076
117840;149.9538
117913;149.9642
117990;149.9277
118062;149.8684
118138;149.7896
118207;149.8084
118285;149.6656
118351;149.5014
118424;149.5758
118500;149.6402
118574;149.8295
118642;149.7182
118719;149.6185
118793;149.4942
118863;149.2439
118935;149.1433
119010;149.1789
119082;149.0627
119149;149.1094
119222;149.0442
119297;148.9588
119379;149.0098
119449;149.0443
119523;149.0373
119595;149.0362
119664;148.9774
119743;149.0527
119811;149.0076
119888;149.0959
119962;148.9883
120035;149.0786
120105;149.0842
120177;149.252
120249;149.3603
120317;149.463
120389;149.543
120472;149.5875
120543;149.7069
120611;149.8078
120685;149.8863
120760;149.9609
120834;150.0664
120904;150.1221
120978;150.1975
121048;150.3133
121122;150.28
121196;150.3651
121271;150.2606
121345;150.2735
121412;150.2422
121482;150.261
121556;150.2491
121637;150.1638
121704;150.1429
121780;150.0733
121854;149.9404
121919;149.8271
121996;149.7282
122068;149.5782
122139;149.5793
122208;149.5285
122282;149.6299
122360;149.5268
122433;149.6153
122506;149.5791
122572;149.519
122651;149.4608
122727;149.3402
122791;149.503
122877;149.422
122950;149.376
123013;149.0685
123085;148.7903
123161;148.6494
123229;148.5792
123306;148.5726
123383;148.6501
123448;148.6732
123526;148.7336
123596;148.7354
123665;148.8692
123742;148.9194
123817;148.8393
123885;149.0297
123960;148.9938
124030;149.216
124105;149.3147
124180;149.4452
124256;149.437
124329;149.5189
124394;149.6177
124475;149.6127
124541;149.6063
124611;149.673
124694;149.6317
124757;149.5947
124835;149.4047
124905;149.3454
124976;149.3187
125063;149.1255
125131;148.9895
125201;148.9546
125271;148.9201
125347;148.9177
125413;148.8939
125492;148.9069
125563;148.7955
125632;148.7805
125701;148.6915
125779;148.6023
125852;148.6386
125931;148.5421
126000;148.6398
126068;148.5488
126145;148.5219
126219;148.5364
126286;148.565
126358;148.6414
126435;148.5013
126507;148.5792
126580;148.4638
126652;148.5522
126726;148.6115
126797;148.5582
126870;148.6344
126940;148.6944
127018;148.7562
127089;148.8418
127158;148.9968
127237;149.0584
127310;149.1767
127379;149.348
127453;149.4596
127525;149.4656
127594;149.4978
127670;149.6635
127743;149.5706
127814;149.5612
127892;149.6239
127965;149.5513
128033;149.4024
128109;149.3127
128181;149.2359
128260;149.1476
128325;149.0097
128403;149.0667
128475;148.954
128543;148.9424
128617;148.7443
128689;148.7718
128763;148.6637
128837;148.6639
128905;148.6591
128978;148.5757
129053;148.6453
129126;148.556
129195;148.5403
129270;148.5049
129345;148.514
129415;148.5305
129489;148.5737
129564;148.4363
129633;148.5556
129707;148.4599
129780;148.5807
129858;148.5269
129924;148.5979
130000;148.7004
130076;148.7376
130145;148.8376
130215;148.8489
130295;149.0073
130370;149.1604
130442;149.2265
130509;149.3011
130588;149.4325
130654;149.4554
130725;149.5679
130805;149.644
