17:52:25   Default
03112021Patient8
Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
121701;24.0716;37.8211;
121775;24.0805;37.1306;
121851;23.955;36.2619;
121913;23.9325;35.8418;
121988;23.5516;35.0424;
122068;23.6489;34.1727;
122140;23.626;33.7293;
122211;23.5756;33.2567;
122279;23.5558;32.8094;
122351;23.4666;32.2454;
122430;23.5681;31.887;
122499;23.4312;31.5143;
122572;23.3443;31.1323;
122646;23.2714;30.6721;
122717;23.2302;30.2942;
122796;23.3538;30.1918;
122867;23.0888;29.6862;
122939;23.0827;29.2302;
123007;22.9257;28.9897;
123076;22.9362;28.4645;
123156;23.1403;28.4016;
123226;23.2003;28.0004;
123301;23.0554;27.8765;
123375;23.0057;27.6878;
123446;23.0376;27.6511;
123518;22.9637;27.4895;
123594;22.8747;27.4744;
123666;22.7647;27.5281;
123736;22.7758;27.5383;
123816;22.6152;27.2109;
123885;22.5747;27.1211;
123962;22.5396;26.8753;
124038;22.8145;26.91;
124106;22.5849;26.7897;
124175;22.5109;26.8035;
124254;22.7651;26.8363;
124323;22.6576;26.7589;
124391;22.7735;26.7563;
124467;22.6976;26.8681;
124539;22.6301;27.0219;
124613;22.4416;26.8191;
124692;22.4636;26.7845;
124765;22.425;26.7071;
124833;22.4779;26.7425;
124907;22.553;26.8838;
124977;22.4698;27.1089;
125049;22.4445;27.3959;
125123;22.5597;27.7206;
125197;22.6086;28.0475;
125268;22.4655;28.3821;
125347;22.6074;28.7108;
125419;22.454;29.2458;
125493;22.3992;29.6149;
125556;22.3495;29.8889;
125636;22.5801;30.4487;
125703;22.5204;30.9326;
125782;22.6578;31.5011;
125854;22.6493;31.8568;
125925;22.8526;32.4141;
125997;22.7443;32.7858;
126070;23.1017;33.1928;
126143;23.3079;33.7231;
126216;23.1084;34.0468;
126286;23.1253;34.6144;
126361;23.043;34.9357;
126435;22.987;35.3622;
126508;23.1078;35.8186;
126580;23.2539;36.1279;
126653;23.3725;36.3909;
126727;23.4581;36.5769;
126799;23.3684;37.0384;
126869;23.6208;37.2386;
126944;23.5049;37.5999;
127015;23.5654;37.9469;
127088;23.6118;38.3159;
127160;23.4731;38.7153;
127238;23.4729;38.5855;
127310;23.6737;38.2875;
127380;23.6518;37.9039;
127457;23.5879;37.3879;
127526;23.7807;36.9544;
127603;23.7472;36.5439;
127669;23.7032;36.003;
127745;23.6707;35.4901;
127819;23.8226;35.0332;
127894;23.7552;34.4374;
127966;23.5992;33.9042;
128034;23.6048;33.733;
128107;23.5091;33.2423;
128184;23.3312;32.6796;
128258;23.4212;32.3082;
128331;23.4623;31.7942;
128402;23.2989;31.4457;
128474;23.3081;31.0196;
128550;23.2799;30.7862;
128621;23.2894;30.3498;
128693;23.3273;30.0775;
128763;23.1561;29.8636;
128842;23.3238;29.5739;
128916;23.2029;29.317;
128985;23.0826;29.2759;
129056;22.9787;28.7743;
129132;23.0262;28.4385;
129199;22.8569;28.1133;
129278;23.1342;27.7336;
129346;23.0141;27.6785;
129419;22.9998;27.4367;
129493;22.8211;27.3988;
129567;22.7512;27.2304;
129639;22.9617;27.1041;
129718;22.9203;27.0938;
129790;22.8406;27.0094;
129857;22.6883;27.06;
129936;22.7714;27.1592;
130111;22.5141;26.7809;
130132;22.5768;26.6622;
130183;22.5349;26.4586;
130248;22.7995;26.5664;
130308;22.7159;26.2888;
130371;22.5613;26.398;
130441;22.5613;26.3833;
130507;22.6475;26.4262;
130586;22.4335;26.2617;
130659;22.5718;26.4789;
130730;22.5376;26.7017;
130809;22.519;27.0186;
130878;22.2857;27.286;
130954;22.3551;27.7033;
131028;22.5193;28.1708;
131096;22.4687;28.7359;
131166;22.6164;29.2649;
131242;22.6463;29.8011;
131315;22.7713;30.2664;
131387;22.8942;30.8448;
131459;22.9754;31.445;
131532;22.9873;32.0153;
131605;22.9126;32.7344;
131681;22.7664;33.1845;
131749;22.7891;33.7433;
131823;22.8929;34.3052;
131896;22.7387;35.0633;
131973;23.0641;35.7179;
132042;23.1448;36.2153;
132113;23.3272;36.8037;
132187;23.2588;37.229;
132266;23.3734;37.628;
132343;23.323;38.1165;
132406;23.4315;38.5886;
132483;23.4952;39.289;
132557;23.2968;39.5037;
132627;23.5394;40.0002;
132699;23.3407;40.4013;
132775;23.4999;40.7423;
132843;23.7081;40.8429;
132913;23.6215;41.2301;
132989;23.8271;41.653;
133063;23.8989;41.5369;
133138;23.9485;41.2486;
133206;23.9395;40.9817;
133285;23.8924;40.6707;
133349;23.7391;40.5402;
133430;23.6384;39.8895;
133500;23.6155;39.4154;
133578;23.7579;38.8279;
133651;23.8362;38.4256;
133723;23.8652;38.0102;
133786;23.9263;37.4325;
133869;23.7601;37.0387;
133936;23.7284;36.4702;
134010;23.8334;35.9583;
134085;23.8338;35.5621;
134156;23.7629;34.9882;
134228;23.5776;34.6646;
134307;23.4209;34.1133;
134373;23.2737;33.6639;
134446;23.4556;33.3976;
134518;23.418;32.8342;
134593;23.4175;32.5833;
134662;23.4092;32.1277;
134737;23.5568;31.7696;
134811;23.363;31.4038;
134883;23.2971;30.9294;
134960;23.3332;30.5251;
135027;23.1738;30.1218;
135100;23.1547;29.9862;
135176;23.0457;29.6311;
135246;22.8678;29.2431;
135320;23.1096;29.0804;
135393;22.9925;28.6687;
135466;23.1547;28.5207;
135543;22.9124;28.156;
135611;22.9792;27.9916;
135687;22.9876;27.8566;
135760;22.813;27.5961;
135833;22.832;27.4683;
135911;22.9047;27.3006;
135980;22.7239;27.342;
136051;22.6556;27.3292;
136126;22.5478;27.1676;
136200;22.5052;27.0377;
136269;22.5515;26.7516;
136341;22.4841;26.7901;
136414;22.7158;26.6462;
136483;22.7848;26.6411;
136562;22.5525;26.5884;
136628;22.6499;26.677;
136706;22.6358;26.6426;
136778;22.7212;26.5786;
136851;22.547;26.6581;
136924;22.4387;26.6987;
136997;22.3921;26.4589;
137074;22.4177;26.3515;
137148;22.5272;26.2525;
137216;22.376;26.2624;
137293;22.4706;26.1857;
137364;22.6104;26.5749;
137438;22.4314;26.9193;
137507;22.4901;27.2689;
137582;22.4735;27.6368;
137653;22.5295;27.9341;
137723;22.4526;28.337;
137802;22.5363;28.7743;
137870;22.3207;29.0852;
137948;22.3606;29.5683;
138013;22.3048;30.015;
138088;22.6084;30.6111;
138160;22.7194;31.0843;
138234;22.7173;31.7244;
138306;22.823;32.3755;
138384;22.6248;32.833;
138453;22.9068;33.4553;
138527;22.8666;33.9742;
138600;22.8041;34.5571;
138675;22.6271;35.1804;
138742;22.9051;35.693;
138816;22.8271;36.3862;
138893;22.9483;36.6278;
138963;23.1569;37.2635;
139035;23.1853;37.7435;
139108;23.3305;38.4228;
139179;23.3391;39.0476;
139253;23.5743;39.6212;
139327;23.5505;40.0881;
139397;23.7023;40.4291;
139467;23.6111;40.7638;
139548;23.5864;40.61;
139618;23.6861;40.1422;
139696;23.4727;39.5805;
139773;23.5973;38.9857;
139840;23.695;38.6072;
139915;23.7423;38.0422;
139987;23.8357;37.726;
140056;23.7921;37.2535;
140129;23.7288;36.9275;
140202;23.6368;36.407;
140278;23.5844;35.9508;
140350;23.5216;35.7488;
140423;23.3265;35.1384;
140494;23.3836;34.6629;
140571;23.4614;34.3294;
140639;23.4214;33.949;
140713;23.3244;33.7081;
140789;23.3592;33.2622;
140860;23.4074;33.0362;
140931;23.4402;32.7584;
141008;23.3012;32.5392;
141081;23.3461;32.241;
141153;23.2786;31.9405;
141218;23.0907;31.8177;
141293;23.1573;31.3409;
141368;23.0793;31.0966;
141445;23.0918;30.6486;
141516;23.0582;30.2797;
141585;22.9973;30.0661;
141657;23.129;29.648;
141728;23.0698;29.3806;
141805;22.9908;29.0178;
141876;22.9923;28.9283;
141946;22.8765;28.6821;
142025;22.9403;28.5808;
142099;22.7881;28.6745;
142168;22.8317;28.4885;
142241;22.5669;28.1886;
142314;22.5816;27.9694;
142385;22.5364;27.772;
142460;22.6668;27.739;
142531;22.5069;27.4154;
142609;22.7545;27.4086;
142679;22.7131;27.2855;
142746;22.5557;27.3186;
142821;22.4801;27.1404;
142899;22.5101;27.1689;
142971;22.4488;27.3596;
143044;22.3964;27.2168;
143119;22.0559;26.9666;
143182;22.0181;26.8844;
143263;22.306;26.6758;
143333;22.3848;26.8279;
143406;22.2311;26.5053;
143480;22.084;26.7968;
143558;22.3205;26.9273;
143629;22.3376;27.2078;
143697;22.3227;27.5413;
143768;22.5035;27.825;
143846;22.1659;28.2721;
143917;22.2814;28.5964;
143991;22.1269;28.8315;
144065;22.141;29.264;
144132;22.2939;29.7328;
144208;22.4864;30.4214;
144278;22.5499;30.7004;
144354;22.6925;31.4191;
144425;22.8488;31.8576;
144496;22.7953;32.2949;
144573;22.902;32.7065;
144644;22.9259;33.1205;
144722;22.868;33.7293;
144791;22.9092;34.0881;
144866;22.7839;34.5553;
144937;22.9533;35.1447;
145011;23.0651;35.564;
145086;23.1023;36.0752;
145162;23.2014;36.5013;
145235;23.2618;36.9499;
145302;23.264;37.521;
145372;23.4869;38.0083;
145444;23.4268;38.6653;
145518;23.429;39.0436;
145592;23.4842;39.1061;
145662;23.4378;38.3589;
145738;23.4975;38.0432;
145810;23.6616;37.6311;
145884;23.4624;37.0818;
145955;23.6828;36.5432;
146029;23.5957;36.1631;
146104;23.5976;35.6487;
146174;23.8403;35.1559;
146247;23.6178;34.6387;
146319;23.6102;33.9775;
146395;23.5212;33.5347;
146469;23.3313;33.1462;
146538;23.2926;32.3802;
146612;23.3648;31.7707;
146684;23.2203;31.3416;
146759;23.3277;30.7297;
146830;23.358;30.2969;
146906;23.1949;29.7869;
146979;23.2584;29.5176;
147044;23.2718;29.2134;
147124;23.1689;28.884;
147195;22.9487;28.6743;
147266;22.8346;28.4697;
147337;22.8821;28.466;
147419;22.9071;28.0584;
147490;22.7086;27.8342;
147555;22.8114;27.6934;
147632;22.6348;27.4442;
147707;22.7651;27.376;
147783;22.8353;27.1998;
147855;22.7973;27.2356;
147926;22.7056;27.2189;
147995;22.6919;27.1963;
148072;22.6949;27.0557;
148144;22.462;27.0029;
148217;22.5836;27.0503;
148292;22.4258;26.9594;
148362;22.271;26.6818;
148436;22.4567;26.5985;
148510;22.2443;26.4712;
148582;22.4344;26.3774;
148652;22.5407;26.3585;
148727;22.3812;26.5937;
148799;22.5313;26.838;
148876;22.3645;27.2258;
148945;22.5358;27.7175;
149018;22.347;28.2935;
149086;22.4004;28.861;
149158;22.4589;29.2538;
149238;22.2103;29.7182;
149307;22.3562;30.0562;
149380;22.43;30.6797;
149451;22.6575;31.306;
149523;22.8467;31.879;
149602;22.778;32.3655;
149675;22.97;32.9287;
149743;22.9291;33.56;
149815;23.0209;34.0275;
149887;23.0267;34.4661;
149960;22.9605;35.0491;
150032;22.95;35.5456;
