17:51:45   Default
28102021 2.MessungPatient2
Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
102637;27.4108;17.3445;
102712;27.4495;17.4888;
102787;27.4366;17.5519;
102856;27.4266;17.6439;
102928;27.3447;17.9024;
103006;27.2563;18.1108;
103076;27.2145;18.2057;
103147;27.2763;18.7422;
103219;27.3834;19.2772;
103299;27.5077;19.9026;
103371;27.4768;20.7869;
103440;27.822;21.4884;
103509;27.8234;22.1874;
103588;27.953;22.9961;
103668;28.1792;23.4545;
103735;28.543;23.5015;
103807;28.8604;24.1215;
103873;29.1014;24.8546;
103945;29.315;25.3491;
104021;29.5084;25.9106;
104098;29.7704;26.2118;
104165;29.9018;26.7789;
104241;30.191;27.2009;
104313;30.3304;27.6959;
104386;30.5283;28.2837;
104456;30.7396;28.9631;
104531;30.9559;29.5416;
104604;31.1285;30.0308;
104684;31.3618;30.5035;
104751;31.4588;31.1038;
104824;31.5531;31.7397;
104897;31.6636;32.2434;
104966;31.6258;32.7563;
